tile,count,save_path,filename
T13TFG,4,/data/tiles/HLS.S30.T13TFG.2022153T173911.v2.0/,HLS.S30.T13TFG.2022153T173911.v2.0
T13TFG,5,/data/tiles/HLS.S30.T13TFG.2022158T173909.v2.0/,HLS.S30.T13TFG.2022158T173909.v2.0
T13TFH,0,/data/tiles/HLS.S30.T13TFH.2022063T174231.v2.0/,HLS.S30.T13TFH.2022063T174231.v2.0
T13TFH,1,/data/tiles/HLS.S30.T13TFH.2022103T173911.v2.0/,HLS.S30.T13TFH.2022103T173911.v2.0
T13TFH,2,/data/tiles/HLS.S30.T13TFH.2022123T173911.v2.0/,HLS.S30.T13TFH.2022123T173911.v2.0
T13TFH,3,/data/tiles/HLS.S30.T13TFH.2022133T173911.v2.0/,HLS.S30.T13TFH.2022133T173911.v2.0
T13TFH,4,/data/tiles/HLS.S30.T13TFH.2022153T173911.v2.0/,HLS.S30.T13TFH.2022153T173911.v2.0
T13TFH,5,/data/tiles/HLS.S30.T13TFH.2022158T173909.v2.0/,HLS.S30.T13TFH.2022158T173909.v2.0
T13TFK,0,/data/tiles/HLS.S30.T13TFK.2022076T175101.v2.0/,HLS.S30.T13TFK.2022076T175101.v2.0
T13TFK,1,/data/tiles/HLS.S30.T13TFK.2022081T174919.v2.0/,HLS.S30.T13TFK.2022081T174919.v2.0
T13TFK,2,/data/tiles/HLS.S30.T13TFK.2022083T174001.v2.0/,HLS.S30.T13TFK.2022083T174001.v2.0
T13TFK,3,/data/tiles/HLS.S30.T13TFK.2022093T173911.v2.0/,HLS.S30.T13TFK.2022093T173911.v2.0
T13TFK,4,/data/tiles/HLS.S30.T13TFK.2022106T174911.v2.0/,HLS.S30.T13TFK.2022106T174911.v2.0
T13TFK,5,/data/tiles/HLS.S30.T13TFK.2022111T174859.v2.0/,HLS.S30.T13TFK.2022111T174859.v2.0
T13TFL,0,/data/tiles/HLS.S30.T13TFL.2022081T174919.v2.0/,HLS.S30.T13TFL.2022081T174919.v2.0
T13TFL,1,/data/tiles/HLS.S30.T13TFL.2022091T174909.v2.0/,HLS.S30.T13TFL.2022091T174909.v2.0
